year; month;day;hour;minutes;lat;lon;depth;mb;mw
2006;5;24;4;20;32.4179;-115.2672;7;5.1;5.3
2007;10;31;3;4;37.4195;-121.8415;14;5.2;5.6
2008;1;19;23;13;40.0249;-122.9759;14;4.8;4.9
2008;2;9;7;12;32.4429;-115.3227;11.7;5.1;5.1
2008;2;11;18;29;32.4425;-115.3061;11.5;4.9;5.1
2008;2;12;4;32;32.4713;-115.3113;10.6;4.7;5
2008;2;19;22;41;32.4884;-115.3298;10.6;4.7;5.1
2008;2;20;1;28;32.5112;-115.336;10;4.5;4.8
2008;2;21;14;16;41.1418;-114.8616;8.9;5.6;6
2008;2;22;19;31;32.4567;-115.324;8.3;4.6;4.9
2008;4;26;6;40;39.4903;-119.9575;2.1;4.7;5
2008;4;30;3;3;40.8279;-123.4722;33.6;5.4;5.4
2008;7;29;18;42;33.901;-117.8228;15.7;5.4;5.5
2008;12;6;4;18;34.7922;-116.3968;10;4.9;5.1
2009;3;24;11;55;33.2943;-115.7326;8.4;4.3;5
2009;9;19;22;55;32.3889;-115.266;15.5;4.8;5.2
2009;10;1;10;1;36.3605;-117.9026;10.6;4.6;5.1
2009;10;3;1;9;36.4058;-117.8197;10;4.4;4.9
2009;10;3;1;16;36.4194;-117.8027;6;4.6;5.2
2009;12;30;18;48;32.5069;-115.2433;8.2;5.5;5.9
2010;4;4;22;40;32.2727;-115.2821;5.5;6.2;7.2
2010;4;5;11;14;32.6985;-115.8072;10;4.8;5.1
2010;4;5;13;33;32.6735;-115.7862;3.4;4.5;5
2010;4;8;16;44;32.2307;-115.2888;9.2;5.2;5.4
2010;4;15;10;20;32.0672;-115.0202;10;4.3;4.8
2010;5;8;18;33;32.6926;-115.7786;10;4.5;5
2010;5;8;18;46;32.6462;-115.7988;10;4.3;4.9
2010;5;22;17;30;32.6087;-115.7619;11.4;4.4;5.1
2010;6;15;4;26;32.6951;-115.9368;5.4;5.5;5.8
2010;7;7;23;53;33.4024;-116.4998;10.2;5.2;5.5
2010;9;14;10;52;32.134;-115.2137;12.1;4.6;5
