Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	1.153929	0.095512	-0.973227	0.473411	0.328362	0.708687
Inverted LS	1.628263	0.082771	-3.314857	0.394184	0.390055	0.588940
Orthogonal	1.450890	0.102919	-2.439227	0.510124	0.353826	0.661752
GOR1		1.249566	0.064752	-1.445357	0.320947	0.222612	0.703819
