Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	0.884197	0.033518	0.868501	0.170846	0.252958	0.769033
Inverted LS	1.149751	0.037908	-0.477949	0.203849	0.288453	0.699666
Orthogonal	1.009435	0.034619	0.233502	0.176460	0.261270	0.753605
GOR1		0.946228	0.016916	0.553983	0.086225	0.127667	0.937384
