Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	0.850770	0.048932	0.444621	0.233785	0.305057	0.744030
Inverted LS	1.143462	0.057515	-0.942291	0.259761	0.353660	0.655967
Orthogonal	0.984156	0.050650	-0.187423	0.241993	0.315767	0.725741
GOR1		0.918528	0.024075	0.123552	0.115026	0.150093	0.739310
