Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	0.909416	0.065724	0.138858	0.330674	0.244005	0.639347
Inverted LS	1.422414	0.072271	-2.435632	0.341141	0.305162	0.435904
Orthogonal	1.174345	0.070495	-1.190695	0.354677	0.261717	0.585088
GOR1		1.020773	0.038099	-0.419992	0.191682	0.141442	0.629761
