Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	0.968675	0.104041	0.020416	0.556496	0.239318	0.648430
Inverted LS	1.493877	0.107405	-2.783270	0.559276	0.297196	0.457814
Orthogonal	1.257051	0.112222	-1.519024	0.600258	0.258137	0.590962
GOR1		1.080441	0.063718	-0.576225	0.340815	0.146565	0.639798
