Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	0.934826	0.140106	0.029516	0.729988	0.257945	0.669269
Inverted LS	1.396787	0.149874	-2.370578	0.735416	0.315302	0.505833
Orthogonal	1.176818	0.149303	-1.227742	0.777909	0.274878	0.624421
GOR1		1.036295	0.081359	-0.497658	0.423901	0.149788	0.661384
