year;month;day;hour;minutes;seconds;lat;lon;depth;mb
1993;5;17;23;51;56.96;37.09350;117.74090;3.1;4.1
1993;5;18;23;48;55.32;37.03780;117.80190;7.3;5.1
1993;5;18;23;57;41.48;37.06080;117.77910;3.2;4.6
1993;5;19;3;20;58.89;37.12330;117.75530;5.8;4.5
1993;5;28;4;47;40.33;35.08290;119.12700;16.3;4.5
1993;8;21;1;46;37.8;33.99910;116.42030;2.7;4.6
1993;10;18;21;49;48.74;32.02760;118.73210;1.4;4.5
1993;11;14;12;25;35.83;35.90090;120.56630;13.0;4.2
1994;1;17;12;30;56.67;34.17690;118.58460;18.3;6.5
1994;1;17;15;54;10.49;34.28030;118.68550;10.2;4.9
1994;1;17;23;33;30.99;34.22140;118.83050;7.4;5.7
1994;1;18;0;43;8.95;34.28930;118.80790;12.6;5.4
1994;1;19;21;9;28.6;34.23060;118.78330;8.5;4.8
1994;1;27;17;19;58.08;34.27450;118.60920;3.2;4.0
1994;3;20;21;20;11.89;34.09750;118.63770;12.2;5.2
1994;4;6;19;1;4.08;34.14850;117.15910;7.3;4.3
1994;4;21;16;37;16.49;36.26390;120.48040;13.1;4.0
1994;8;11;2;22;53.25;32.33290;115.27610;8.5;4.1
1994;9;12;12;23;44.98;38.84210;119.69990;14.2;5.4
1994;12;20;10;27;48.32;35.80350;120.57210;16.6;4.6
1995;4;23;8;41;37.29;36.51930;121.34170;10.4;4.5
1995;5;7;11;3;33.45;33.87920;116.34650;13.2;4.5
1995;5;17;2;29;13.91;39.80210;122.65670;2.1;4.7
1995;8;17;22;40;0.14;35.72890;117.68110;12.1;5.3
1995;9;4;14;16;18.04;38.62880;122.75600;3.9;4.7
1995;9;20;23;27;38.72;35.69910;117.70260;11.8;5.0
1995;11;29;23;12;33.37;36.76350;121.57460;9.0;3.8
1995;12;23;5;39;55.41;38.76660;119.53700;1.0;4.5
1996;1;7;14;32;54.72;35.71100;117.68650;7.3;4.5
1996;1;26;13;6;2.15;35.75910;117.66600;0.0;3.4
1996;1;30;18;34;10.38;34.31790;118.46770;11.0;3.8
1996;4;19;0;52;41.71;36.85150;121.62160;8.2;4.2
1996;5;21;20;50;21.06;37.34310;121.73770;9.3;4.4
1996;10;23;22;9;27.6;34.42430;119.41560;5.1;4.1
1996;11;27;20;17;25.84;35.98500;117.65710;8.5;4.5
1996;12;4;21;21;15.46;38.72930;122.76510;0.6;4.0
1997;1;2;22;36;9.11;39.00070;123.07710;3.5;3.7
1997;1;4;14;58;36.05;35.98620;117.65690;6.4;3.2
1997;4;26;10;37;30.21;34.27510;118.77070;17.4;4.8
1997;4;27;11;9;28;34.29130;118.71410;14.3;4.6
1997;7;26;3;14;55.26;33.35790;116.38880;2.1;4.0
1997;8;21;16;11;25.04;38.51080;118.50120;1.6;4.0
1997;8;21;16;36;48.14;38.48820;118.56500;6.5;4.1
1997;11;15;6;0;19.73;37.22760;117.80310;2.0;4.6
1997;11;22;1;33;19.45;38.87530;123.20910;12.7;3.5
1997;11;22;17;20;37.7;37.64160;118.98710;5.8;4.6
1997;12;9;1;10;13.36;32.36730;115.30160;2.0;3.7
1998;2;17;22;8;39.84;39.90460;120.57440;11.2;3.1
1998;3;6;5;47;41.19;36.01200;117.64530;1.9;4.9
1998;3;11;12;18;50.69;33.90240;117.22450;11.2;4.0
1998;4;24;16;17;26.97;38.39950;118.48410;1.5;3.9
1998;6;9;5;24;42.61;37.49000;118.90010;11.4;4.6
1998;7;2;3;39;51.46;36.85340;117.51730;2.8;4.8
1998;7;15;4;53;21.07;37.54990;118.80310;9.6;4.8
1998;7;21;8;38;51.11;40.56550;122.37090;28.4;4.2
1998;8;2;14;45;46.11;37.55860;118.83940;0.8;3.8
1998;8;12;14;10;25.29;36.72340;121.52620;7.8;4.8
1998;10;15;5;5;46.79;40.80570;123.63950;41.3;4.0
1998;11;26;19;49;55.5;40.57700;122.39210;31.5;4.9
1998;11;26;22;58;6.98;40.55220;122.34160;16.7;4.1
1998;11;28;4;41;15.56;40.54310;122.39210;16.9;4.0
1998;12;25;5;19;52.25;38.69860;122.80270;2.9;3.8
1999;1;13;13;20;55.47;32.72260;115.95040;16.7;3.7
1999;1;18;8;48;36.73;36.65650;121.30000;12.6;3.6
1999;1;24;15;34;59.01;39.56060;123.63450;21.5;3.8
1999;1;25;18;52;7.26;36.80010;115.98410;3.8;3.8
1999;3;23;18;36;40.05;36.61380;121.41500;3.8;3.6
1999;5;15;13;22;13.44;37.47990;118.80930;3.9;5.0
1999;7;11;18;20;47.2;35.70900;118.57500;9.1;4.5
1999;8;1;16;6;23.81;37.36320;117.10330;8.2;5.7
1999;8;1;16;11;22.79;37.46030;117.06320;13.5;4.7
1999;8;1;16;27;18.97;37.35870;117.13860;10.2;4.7
1999;8;18;1;6;18.94;37.88080;122.71510;7.7;5.1
1999;8;24;13;4;9.01;32.03070;114.66420;7.2;4.7
1999;9;10;13;40;3.74;32.27180;115.18300;4.3;4.7
1999;9;22;22;27;13.55;38.33420;122.68850;10.8;3.9
1999;9;29;6;22;4.47;41.33910;123.42160;43.2;3.9
1999;10;16;9;46;46.43;34.57240;116.34710;2.3;6.3
1999;12;12;18;12;36.69;39.64140;118.36870;2.1;4.1
2000;1;10;21;41;26.9;38.67770;122.92820;5.0;3.8
2000;2;21;13;49;42.24;33.93420;117.30890;4.2;3.4
2000;4;9;10;48;9.22;32.61100;115.41310;11.0;3.5
2000;4;25;14;6;27.44;32.12490;115.11000;15.1;4.2
2000;5;2;6;45;47.51;32.16860;115.02870;11.8;4.5
2000;5;2;7;16;12.62;32.19600;115.05270;10.5;4.3
2000;5;17;22;32;8.78;39.37960;123.06490;9.9;3.9
2000;5;24;23;51;20.92;39.38680;122.95040;6.0;3.2
2000;9;3;8;36;30.98;38.35160;122.40210;7.3;4.7
2000;11;19;12;54;51.33;40.47930;119.49490;9.4;4.1
2000;12;8;7;41;11.99;38.70970;122.79990;6.7;3.7
2000;12;20;22;55;52.89;40.96920;121.75350;6.6;3.2
2000;12;20;23;39;14.03;40.99820;121.74160;1.1;4.3
2001;2;2;23;3;12.38;39.70700;122.70690;7.0;3.9
2001;5;15;2;39;50.22;35.73310;121.31310;4.4;3.8
2001;7;19;21;50;30.89;38.72440;122.76730;2.6;4.1
2001;8;10;20;19;28.09;39.82820;120.67270;19.0;4.7
2001;8;11;12;1;31.08;39.77770;120.68270;3.2;3.7
2001;10;31;7;56;16.3;33.50630;116.56560;9.1;5.1
2001;12;7;14;29;8.31;38.99560;123.21980;7.3;4.0
2001;12;8;23;36;12.64;32.04220;114.99920;11.9;5.4
2001;12;9;1;42;28.05;32.11090;115.00860;10.5;4.8
2001;12;14;9;41;5.4;39.02940;123.23070;5.7;3.7
2001;12;28;21;14;1.35;36.53270;121.34360;2.8;4.3
2002;1;29;6;7;59.35;34.24940;118.73420;1.2;3.5
2002;2;22;20;33;50.12;32.32000;115.31610;12.4;3.5
2002;9;3;7;8;49.27;33.74930;117.96880;2.3;4.3
2002;11;12;16;48;24.03;35.88450;120.62960;8.0;4.3
2002;12;10;21;3;59.41;32.19550;115.75420;0.7;4.5
2003;1;7;22;29;27.28;36.76480;121.46670;8.7;4.0
2003;2;2;18;22;59.08;37.70460;121.96290;13.4;3.8
2003;4;22;10;46;10.63;40.57520;123.95480;27.9;3.9
2003;11;23;12;20;0.1;40.63590;115.08620;2.3;4.1
2003;12;22;19;15;57.84;35.64970;121.14550;12.2;6.1
2004;3;9;19;54;47.1;32.39670;115.23330;10.3;3.9
2004;6;3;8;54;45.77;39.32440;119.99030;10.3;4.1
2004;6;15;22;28;49.28;32.30640;117.84220;6.9;5.0
2004;8;22;1;25;11.77;32.38000;115.21150;3.4;4.0
2004;9;28;17;15;25.15;35.76250;120.32750;7.9;5.3
2004;9;29;17;10;5.79;35.94440;120.51900;16.0;5.0
2004;12;12;9;13;33.37;40.68650;123.72020;29.6;4.0
2005;5;21;0;39;31.3;33.25080;116.13790;13.6;5.6
2005;6;12;15;41;46.43;33.49500;116.59820;10.0;5.0
2005;8;31;22;47;45.43;33.16230;115.64370;1.7;4.3
2005;9;2;1;27;19.66;33.15260;115.65080;10.7;4.9
2005;10;18;7;31;0.44;33.98190;116.72750;0.2;4.0
2006;3;3;12;49;51.03;38.96240;123.10190;8.4;3.3
2006;4;1;12;26;1.73;36.49360;121.15730;12.3;4.2
2006;4;7;1;6;54.31;35.64240;121.22150;8.0;4.1
2006;5;5;6;36;17.9;38.24970;118.74830;3.5;5.0
2006;5;24;4;20;28.01;32.41790;115.26720;7.0;5.1
2006;6;15;12;24;51.5;37.07620;121.51040;6.1;4.2
2006;8;3;3;8;13.42;38.35380;122.57030;14.6;4.5
2006;11;3;15;56;42.81;32.69600;116.04500;15.3;4.8
2006;12;15;19;21;56.71;36.16350;120.26920;18.1;3.6
2006;12;16;6;14;5.67;36.19700;120.23340;13.8;3.8
2007;3;2;4;40;0.72;37.88430;122.10810;12.4;4.0
2007;4;18;8;42;23.58;39.44830;123.12330;12.5;4.6
2007;5;22;11;34;11.98;35.84480;120.43110;15.8;5.1
2007;6;12;7;23;45.34;37.50860;118.90050;7.7;4.5
2007;7;2;19;58;52.1;36.83100;121.65830;8.7;4.0
2007;8;9;7;58;48.75;34.25290;118.65240;3.2;4.5
2007;9;2;17;29;15.19;33.58830;117.60110;16.4;4.7
2007;10;16;8;53;43.86;34.36230;117.63090;10.0;4.3
2007;10;24;12;22;48.66;35.83020;117.67500;11.2;4.0
2007;10;31;3;4;55.8;37.41950;121.84150;14.0;5.2
2008;2;9;7;12;7.8;32.44290;115.32270;11.7;5.1
2008;2;11;18;29;34.49;32.44250;115.30610;11.5;4.9
2008;2;12;4;32;39.87;32.47130;115.31130;10.6;4.7
2008;2;12;9;27;19.19;32.45620;115.33850;15.4;4.0
2008;2;19;22;41;30.86;32.48840;115.32980;10.6;4.7
2008;2;21;14;16;4.61;41.14180;114.86160;8.9;5.6
2008;2;21;14;34;55.45;40.93280;114.58100;11.6;4.5
2008;2;21;15;34;24.81;41.10150;114.93860;4.0;3.7
2008;2;21;23;57;52.04;41.12530;114.90710;11.3;4.6
2008;2;22;1;50;4.75;41.10710;114.90460;1.6;4.0
2008;2;22;19;31;19.03;32.45670;115.32400;8.3;4.6
2008;2;22;23;27;46.25;41.11710;114.90340;9.6;4.5
2008;3;29;22;1;42.46;32.42030;115.23600;17.8;3.4
2008;4;1;13;16;17.78;41.21080;114.82320;10.9;4.2
2008;4;26;6;40;10.66;39.49030;119.95750;2.1;4.7
2008;4;30;3;3;6.67;40.82790;123.47220;33.6;5.4
2008;5;1;8;11;42.68;35.45950;118.39880;4.3;4.5
2008;6;8;17;55;18.38;39.48080;120.01570;2.5;4.0
2008;6;13;18;31;4.16;40.45380;119.82280;4.6;4.0
2008;7;29;18;42;15.69;33.90100;117.82280;15.7;5.4
2008;9;6;4;0;15.2;37.75690;122.01220;14.1;4.9
2008;10;2;9;41;48.92;34.08360;116.96800;15.2;3.8
2008;11;20;19;23;3.23;32.42320;115.36670;16.5;4.7
2008;12;21;17;35;36.41;36.62630;121.38600;17.4;3.9
2008;12;26;12;19;41.24;39.91910;120.94070;11.9;4.2
2009;1;9;3;49;46.4;34.07660;117.32130;14.5;4.3
2009;2;16;1;3;37.2;35.29090;119.40580;1.2;3.6
2009;3;24;11;55;43.3;33.29430;115.73260;8.4;4.3
2009;5;2;1;11;12.78;34.01350;118.90320;17.5;3.9
2009;5;8;20;27;13;34.43050;119.14700;4.6;4.1
2009;5;18;3;39;36.14;33.93330;118.34920;11.3;4.7
2009;6;20;12;32;47.86;35.68130;120.88600;2.4;4.3
2009;9;6;3;20;55.29;35.52400;120.67870;1.1;4.0
2009;9;19;22;55;19.28;32.38890;115.26600;15.5;4.8
2009;9;20;0;36;18.22;32.39960;115.28490;14.4;4.0
2009;10;1;10;1;25.47;36.36050;117.90260;10.6;4.6
2009;10;3;1;16;0.6;36.41940;117.80270;6.0;4.6
2009;10;3;11;37;13.57;36.36390;117.96940;15.6;3.8
2009;11;15;22;45;28.37;33.20690;119.22440;14.2;4.4
2009;12;22;23;40;43.86;39.79410;123.35670;14.1;3.3
2009;12;30;18;48;59.05;32.50690;115.24330;8.2;5.5
2010;1;4;14;24;51.73;40.26390;123.86580;11.7;3.9
2010;1;12;2;36;7.85;33.95930;116.89260;15.7;3.8
2010;1;15;8;23;27.84;36.00390;117.82320;9.6;4.2
2010;1;16;12;3;24.25;33.89060;117.07120;5.4;3.5
2010;2;14;21;35;47.5;32.24120;116.53590;4.9;3.6
2010;3;1;9;6;2.87;36.04190;117.84900;4.6;3.4
2010;3;16;11;3;59.85;33.99390;118.06760;15.0;4.1
2010;4;4;22;50;16.5;32.07140;115.16220;0.9;5.2
2010;4;4;23;4;44.45;32.16270;115.18320;5.9;4.2
2010;4;4;23;15;13.62;32.19900;115.22150;2.0;5.2
2010;4;4;23;25;6.68;32.21330;115.22900;4.7;5.3
2010;4;4;23;33;12.28;32.34660;115.34470;5.9;4.5
2010;4;4;23;37;32.59;32.47750;115.54950;4.4;4.5
2010;4;5;1;6;40.62;32.31150;115.43150;3.6;4.0
2010;4;5;2;47;26.27;32.30280;115.33040;0.5;3.6
2010;4;5;2;54;34.11;32.48390;115.61470;1.7;4.3
2010;4;5;4;55;22.23;32.06330;115.07460;0.9;4.0
2010;4;5;6;17;0.2;32.63940;115.77770;3.6;3.3
2010;4;5;13;33;5.53;32.67350;115.78620;3.4;4.5
2010;4;6;0;56;40.33;32.13850;115.17930;1.0;3.8
2010;4;6;1;22;58.17;32.06860;115.05230;9.4;3.6
2010;4;6;1;58;14.78;32.28710;115.35480;8.8;3.9
2010;4;6;4;12;20.71;32.60300;115.70690;4.9;3.9
2010;4;6;10;6;37.8;32.66470;115.78920;8.1;3.9
2010;4;6;17;31;16.49;32.09000;115.04980;7.9;3.5
2010;4;6;22;9;9.58;32.60800;115.71910;13.5;4.0
2010;4;7;4;23;46.84;32.05760;115.13680;6.0;3.6
2010;4;7;11;4;13;32.29470;115.42170;1.7;3.6
2010;4;8;2;47;56.96;32.68020;115.76700;8.8;4.0
2010;4;8;16;44;26.94;32.23070;115.28880;9.2;5.2
2010;4;9;23;5;42.21;32.21370;115.24670;10.7;4.2
2010;4;10;9;12;27.38;32.65560;115.73830;3.2;4.3
2010;4;11;16;42;2.64;32.26330;115.32490;1.9;4.3
2010;4;14;22;34;53.18;32.15400;115.19930;9.9;3.9
2010;4;15;9;20;36.53;32.06460;115.06130;0.1;4.0
2010;4;17;16;9;53.27;32.27300;115.35430;2.2;3.7
2010;4;22;14;22;2.72;32.66350;115.79160;7.6;3.7
2010;4;22;17;12;12.67;32.67290;115.78860;9.9;4.0
2010;4;25;18;4;0.28;32.28260;115.35650;7.3;3.2
2010;4;27;10;55;35.68;32.69470;115.83310;11.5;4.2
2010;5;4;11;26;31.94;32.24820;115.29680;9.6;4.7
2010;5;8;19;23;5.3;35.00520;119.25700;8.7;3.8
2010;5;15;8;38;53.86;32.17600;115.27210;4.5;3.5
2010;5;19;0;39;0.13;32.67430;115.84980;7.6;4.4
2010;5;22;17;30;58.15;32.60870;115.76190;11.4;4.4
2010;6;11;20;51;12.4;32.40980;115.21480;12.4;4.3
2010;6;13;3;8;56.99;33.38180;116.40640;15.6;4.2
2010;6;15;4;26;58.36;32.69510;115.93680;5.4;5.5
2010;7;7;23;53;35.23;33.40240;116.49980;10.2;5.2
2010;8;24;5;42;15.82;33.51050;118.98130;5.3;3.8
2010;9;14;10;52;19.39;32.13400;115.21370;12.1;4.6
2010;9;15;6;9;53.52;32.19480;115.25410;16.0;4.4
2010;9;30;8;37;36.6;37.15610;117.35030;4.0;4.1
2010;11;4;19;39;59.74;32.86390;115.98990;14.8;5.3
2010;12;11;12;52;26.9;32.18490;115.31320;7.9;4.5
2011;1;22;19;21;3.89;38.52840;118.39820;0.1;3.1
2011;2;18;17;47;36.31;32.05380;115.09670;6.8;4.9
2011;2;20;19;34;41.04;32.13680;115.25400;9.4;4.4
2011;3;31;20;22;55.85;32.38470;115.23290;7.5;4.1
2011;4;5;11;56;48.98;35.97960;121.70620;6.4;4.0
2011;4;13;22;10;8.77;38.32710;118.73990;0.3;4.3
2011;4;15;13;33;55.04;38.38730;118.72670;3.2;3.5
2011;4;17;0;45;36.9;38.41100;118.73290;0.9;4.4
2011;5;3;21;41;49.64;36.38390;117.87870;5.8;3.9
2011;6;9;15;22;11.99;32.67110;115.74860;9.2;4.0
2011;8;24;11;59;51.67;37.52610;118.89830;6.7;5.0
2011;8;27;7;18;22.52;36.55170;121.23620;12.1;4.2
2011;10;1;7;7;3.97;38.79620;118.99520;25.0;5.1
2011;10;15;11;42;30.02;37.89810;118.55690;6.1;3.5
2011;10;27;6;37;10;39.58160;120.47180;16.5;4.6
2012;1;3;14;18;55.99;33.20910;119.41590;15.0;3.8
2012;1;18;13;31;41.65;32.35940;115.27670;3.7;3.5
2012;2;13;4;47;14.52;38.80580;122.73530;7.0;3.9
2012;2;13;21;7;3.1;41.09770;123.71010;32.8;5.3
2012;2;14;10;9;28.16;32.13060;115.18310;12.4;4.8
2012;2;29;1;27;29.13;32.20510;115.27430;8.0;3.8
2012;2;29;5;0;30.25;41.13330;123.83080;10.0;3.8
2012;3;5;13;33;20.92;37.91630;122.29690;13.0;3.6
2012;4;23;17;37;0.57;33.50950;117.73360;1.6;3.3
2012;4;28;15;7;27.05;34.14280;117.45120;11.1;4.0
2012;4;28;21;25;7.42;32.18610;115.31860;1.4;3.7
2012;5;5;9;23;23.68;38.81050;122.77470;0.1;4.2
2012;5;30;5;14;0.29;33.66310;119.04080;10.0;3.5
2012;6;23;3;51;56.96;39.28820;120.02320;1.6;4.5
2012;7;1;3;25;19.45;32.21720;115.34480;3.0;4.6
2012;7;1;6;36;6.22;32.19720;115.31020;6.2;4.6
2012;7;8;12;5;49.83;39.51400;123.67370;10.3;4.2
2012;8;6;7;35;49.33;35.92090;120.48760;12.1;4.5
2012;8;8;6;23;32.1;33.81530;117.83290;1.3;3.7
2012;8;8;16;33;20.66;33.85090;117.78310;5.9;4.2
2012;8;26;19;20;4.85;33.02730;115.56660;13.2;4.3
2012;8;26;19;31;22.37;33.04660;115.53520;2.3;4.7
2012;8;26;20;57;57.85;33.03370;115.55410;2.4;4.7
2012;8;26;21;15;29.49;33.05140;115.54570;10.0;3.8
2012;8;26;23;33;25.72;32.99580;115.57580;13.6;4.6
2012;8;27;4;41;36.91;33.05750;115.58770;10.1;4.5
2012;9;7;13;23;48.37;36.11820;120.06090;9.4;4.1
2012;9;25;15;15;10.1;39.11380;123.23640;10.0;4.2
2012;10;2;8;28;14.97;32.81190;116.14960;9.8;4.2
2012;10;21;6;55;10.75;36.30300;120.89380;10.8;5.2
2012;10;29;4;25;16.97;36.57840;121.19280;10.0;3.8
2013;1;24;23;25;51.31;38.63090;119.61430;10.0;3.4
2013;2;13;0;10;15.62;38.01990;117.98780;10.0;4.8
2013;2;28;15;29;25.08;38.06550;118.02590;3.7;3.4
2013;3;1;21;55;27.11;35.82260;116.78910;10.0;3.3
2013;3;11;16;56;5.86;33.48260;116.45240;10.2;4.8
2013;3;14;9;9;24.83;38.77010;122.84440;10.0;4.1
