year;month;day;hour;minutes;seconds;lat;lon;depth;mb
2014;11;20;6;26;49.1;36.77740;121.60000;5.8;4.0
2015;1;4;3;18;9.62;34.60800;118.62460;8.6;4.2
2015;1;4;9;56;43.85;41.83680;119.60960;10.0;3.9
2015;1;20;13;21;36.45;36.34280;120.98520;7.6;4.7
2015;1;22;9;9;17.81;41.93720;119.68170;6.4;4.6
2015;1;29;11;3;20.33;41.88260;119.64770;5.3;4.4
2015;2;14;2;28;56.27;37.14080;117.21720;8.9;4.7
2015;2;26;19;17;49.91;41.93560;119.55250;10.0;4.2
2015;2;28;10;41;36.45;38.90500;115.42620;10.0;3.5
2015;3;27;13;30;14.95;36.20500;120.42460;11.9;4.1
2015;4;8;19;23;14.5;32.39520;115.20720;12.7;4.1
2015;4;8;19;30;26.9;32.39040;115.26810;11.7;3.4
2015;5;19;18;36;4.25;36.65740;120.89770;13.0;3.4
2015;5;22;2;53;0.23;38.44790;122.20240;8.2;3.6
2015;5;22;18;47;43.2;37.33350;114.65050;6.0;4.8
2015;7;16;1;52;10.74;41.87750;119.61680;2.6;4.3
2015;7;16;1;57;26.18;41.90680;119.64540;2.5;3.9
2015;7;21;9;41;14.37;37.53580;121.99930;11.1;3.9
2015;7;27;1;5;33.24;41.81510;119.63020;1.8;4.4
2015;8;17;13;49;17.46;37.82270;122.27560;10.8;4.5
2015;8;23;17;41;19.4;38.74630;122.70560;10.0;3.1
2015;9;14;13;55;47.99;41.85710;119.58810;7.6;4.6
2015;9;27;2;44;0.52;41.86690;119.57980;0.4;4.3
2015;10;29;16;47;39.81;41.89290;119.58520;1.5;4.0
2015;11;19;1;40;3.45;41.89020;119.58330;10.0;3.7
2015;12;6;11;13;28.06;41.88730;119.61660;1.1;4.0
2015;12;23;6;46;8.68;39.42940;119.76320;10.0;3.9
2015;12;24;20;30;38.67;41.88720;119.60110;10.0;4.6
2015;12;27;18;31;17.79;35.20420;117.29210;6.6;4.3
2015;12;28;15;10;30.12;41.39750;118.97630;10.0;3.6
2015;12;30;1;48;57.34;34.17470;117.42120;9.5;4.2
2016;1;3;15;35;24.67;41.91910;119.63930;7.2;3.8
2016;1;6;14;42;34.44;33.95050;116.89770;14.9;4.3
2016;1;24;15;32;15.59;34.66670;116.19280;2.8;4.2
2016;2;16;23;4;26.8;37.22310;118.38380;1.2;4.2
2016;2;16;23;27;31.31;37.20380;118.38580;9.1;3.6
2016;2;20;6;13;19.74;34.60340;116.61310;6.7;4.3
2016;2;23;3;19;52.82;34.67390;116.23780;3.7;3.9
2016;2;24;0;2;22.99;35.50340;119.37670;14.3;4.7
2016;3;12;8;42;37.55;34.49120;119.07410;0.9;4.2
2016;3;21;7;37;10.64;38.47590;118.36170;8.3;3.9
2016;3;22;10;0;46.32;38.68450;118.76230;10.0;3.4
2016;5;14;14;20;30.81;40.63740;119.46570;9.0;2.9
2016;6;10;8;4;38.15;33.42270;116.44970;3.0;5.1
2016;7;7;23;14;41.16;38.65470;118.79680;10.0;3.5
2016;7;7;23;40;45.99;38.60370;118.79650;6.8;3.9
2016;7;19;21;38;38.69;36.65370;121.39200;10.3;4.1
2016;7;21;23;9;4.83;40.69580;123.88620;23.7;4.7
2016;8;4;4;55;34.11;40.21330;120.22780;2.4;4.5
2016;8;10;2;57;19.54;39.29460;122.77000;16.8;5.0
2016;8;28;21;20;52.04;40.41910;123.41300;35.7;4.2
2016;11;6;13;0;46.48;39.63870;123.62980;9.9;4.3
2016;12;14;11;58;40.46;35.55270;120.80740;14.4;3.9
2016;12;14;16;41;7.24;38.81170;122.82070;10.0;4.7
2016;12;28;8;18;1.96;38.35620;118.91540;5.5;5.1
2016;12;28;8;22;14.17;38.36800;118.86130;7.5;5.3
2016;12;28;9;13;48.05;38.38740;118.92400;5.0;5.2
2017;2;21;0;57;53.04;38.76980;122.75000;7.2;3.7
2017;4;30;10;12;16.61;38.77190;122.78240;0.7;3.7
2017;5;17;4;42;24.93;34.40400;119.99110;13.3;3.9
2017;7;9;9;12;6.46;37.53970;118.95170;10.0;3.1
2017;8;22;19;51;59.22;35.89890;116.92210;10.2;4.1
2017;10;10;0;53;18;37.30770;121.66900;14.9;4.2
2017;10;26;20;38;52.61;34.42830;120.57100;14.0;4.5
2017;11;13;19;31;29.17;36.62020;121.27190;10.4;4.6
2018;1;4;10;39;37.85;37.84630;122.27550;13.9;4.4
2018;1;18;5;55;12.05;38.77690;122.72100;3.3;4.0
2018;1;25;10;9;56.63;33.72080;117.50360;12.6;4.1
2018;3;7;18;5;0.01;35.48130;120.01960;12.9;3.6
2018;4;5;19;29;17.24;33.84030;119.71620;10.4;5.1
2018;4;16;16;36;49.22;35.04260;119.04520;11.3;3.7
2018;5;8;11;49;34.2;34.01320;116.77840;15.9;4.5
2018;5;10;2;58;31.51;38.79460;122.76810;10.0;3.5
2018;7;5;15;17;37.26;35.88710;115.76140;11.0;4.2
2018;8;15;1;24;27.27;33.46410;116.82140;9.0;4.3
2018;8;29;2;33;28.82;34.11950;117.77100;9.5;4.4
2018;9;29;2;17;46.7;32.38820;115.22650;17.8;4.2
2018;11;19;20;18;42.55;32.17850;115.28910;16.3;4.5
2018;11;27;13;7;12.87;36.02580;120.18570;12.7;4.1
2018;12;5;21;40;16.47;35.71990;117.07820;3.9;4.0
2019;2;6;18;23;1.13;40.85360;123.77430;27.3;4.3
2019;2;7;16;41;24.77;34.69000;116.26820;10.7;3.2
2019;4;15;11;54;3.2;38.79170;122.77870;3.8;3.2
2019;4;28;17;3;17.52;39.80170;117.52860;10.0;3.9
2019;4;28;21;56;50.06;39.77580;117.47590;10.0;3.9
2019;4;29;7;16;8.4;39.33820;123.21410;11.5;4.2
2019;6;5;10;47;17.53;32.83600;118.42650;2.4;4.3
2019;6;5;14;32;7.75;32.79830;118.47040;2.1;4.1
2019;6;11;7;24;20.73;37.49580;116.68120;3.8;3.7
2019;6;30;23;43;38.13;37.78730;114.33610;10.0;3.9
2019;7;4;17;2;55.22;35.69370;117.50810;15.7;3.4
2019;7;4;17;33;50.99;35.66950;117.52760;12.2;5.6
2019;7;4;18;27;59.51;35.75180;117.53300;6.4;4.1
2019;7;4;18;39;44.63;35.58400;117.57680;1.2;4.5
2019;7;4;18;47;6.84;35.66750;117.49640;12.9;4.3
2019;7;4;18;54;14.86;35.58050;117.61580;13.8;3.5
2019;7;4;18;56;7.14;35.70700;117.56050;7.7;4.4
2019;7;4;19;21;32.37;35.66140;117.47350;7.0;4.4
2019;7;4;19;56;0.57;35.64010;117.50960;1.4;3.5
2019;7;4;20;14;50.8;35.66850;117.51430;12.6;3.1
2019;7;4;22;12;9.01;35.71080;117.53370;10.0;4.2
2019;7;4;23;34;2.85;35.59220;117.62440;12.6;4.0
2019;7;5;0;18;1.81;35.76880;117.60790;5.7;3.5
2019;7;5;0;32;6.73;35.68520;117.45360;3.1;3.2
2019;7;5;2;1;59.34;35.62250;117.55200;12.1;3.3
2019;7;5;11;7;54.73;35.72220;117.57440;12.3;5.2
2019;7;5;12;38;30.21;35.75900;117.57240;9.5;4.0
2019;7;5;14;39;34.31;35.71530;117.56600;10.0;3.9
2019;7;5;17;2;36.41;35.61880;117.57860;12.6;4.0
2019;7;6;3;16;32.47;35.71080;117.54830;2.8;4.6
2019;7;6;3;19;55.43;35.72320;117.62030;9.3;5.9
2019;7;6;3;44;18.52;35.88900;117.70400;8.4;4.2
2019;7;6;3;46;27.01;35.67240;117.47020;1.7;4.1
2019;7;6;3;47;54.13;35.89040;117.73670;8.6;4.9
2019;7;6;3;51;0.36;35.84210;117.67220;11.7;4.6
2019;7;6;3;57;52.68;35.85740;117.67800;10.0;4.0
2019;7;6;4;7;4.23;35.54720;117.51760;1.4;4.2
2019;7;6;4;13;8.09;35.58540;117.65370;14.3;4.7
2019;7;6;4;18;56.87;35.88670;117.69050;10.4;5.0
2019;7;6;4;36;57.39;35.85300;117.71270;10.0;4.7
2019;7;6;4;40;16.14;35.63150;117.42820;3.6;4.2
2019;7;6;4;52;18.11;35.87050;117.67910;6.5;4.2
2019;7;6;5;25;5.23;35.82400;117.66970;5.3;4.1
2019;7;6;5;58;17.56;35.93460;117.68840;0.5;4.4
2019;7;6;6;1;52.03;35.90070;117.72440;9.0;4.2
2019;7;6;6;12;52.23;35.56440;117.36690;7.9;4.0
2019;7;6;7;54;45.51;35.69510;117.52000;2.1;4.0
2019;7;6;8;32;58.1;35.60130;117.48870;8.1;4.7
2019;7;6;8;59;57.75;35.52740;117.38150;6.7;3.9
2019;7;6;9;28;29.95;35.87860;117.71530;10.0;4.4
2019;7;6;9;30;42.76;35.90310;117.73290;10.0;4.1
2019;7;6;10;48;24.54;35.57110;117.36880;8.8;4.0
2019;7;6;11;6;43.63;35.79090;117.61330;5.9;4.2
2019;7;6;11;15;21.39;35.63120;117.46520;7.4;4.0
2019;7;6;11;53;9.18;35.87510;117.71840;10.0;4.0
2019;7;6;13;6;56.78;35.91400;117.70240;10.0;4.3
2019;7;6;13;43;18.88;35.58130;117.44060;9.8;3.6
2019;7;6;17;41;33.15;35.86830;117.70440;13.4;3.9
2019;7;6;23;50;42.37;35.81890;117.64910;8.7;4.3
2019;7;7;5;38;15.28;35.72050;117.56840;11.0;4.4
2019;7;7;23;36;57.05;35.82490;117.62260;12.1;3.9
2019;7;8;16;4;28.53;35.67030;117.48290;10.8;4.3
2019;7;10;0;48;17.89;36.05300;117.84910;5.2;4.0
2019;7;10;1;43;3.01;35.89760;117.68170;4.5;3.8
2019;7;10;7;5;27.64;36.04480;117.83720;10.0;3.2
2019;7;10;12;28;57.22;36.04400;117.85440;4.3;4.1
2019;7;10;18;49;1.42;36.16880;117.88200;7.9;4.2
2019;7;10;20;9;51.84;35.65800;117.50570;8.9;4.2
2019;7;11;0;14;37.74;36.15900;117.87340;1.8;4.0
2019;7;11;0;15;40.32;36.14600;117.88320;10.0;4.1
2019;7;11;4;10;1.46;36.05790;117.83920;4.3;4.2
2019;7;11;7;4;6.38;36.17600;117.88100;2.7;3.5
2019;7;12;13;11;37.87;35.62280;117.56620;11.3;4.5
2019;7;15;8;38;45.1;36.05080;117.84480;6.7;4.3
2019;7;16;20;11;1.29;37.83620;121.72400;17.9;4.0
2019;7;16;20;15;36.79;35.77840;117.60080;8.6;4.3
2019;7;17;2;29;7.66;36.11700;117.87720;8.7;4.2
2019;7;18;3;59;15.25;36.11470;117.87870;4.7;4.3
2019;7;22;16;26;55.84;33.98430;116.05310;12.5;4.2
2019;7;26;0;42;48.29;35.92810;117.68240;3.6;4.6
2019;7;27;10;30;55.29;35.62280;117.47010;10.0;4.2
2019;8;15;11;50;25.24;36.08660;117.85910;2.9;3.8
2019;8;22;20;49;50.43;35.89640;117.69960;7.1;4.7
2019;8;23;5;34;10.32;35.88410;117.69150;12.2;4.1
2019;9;10;4;25;57.22;39.53550;116.54480;10.0;4.2
2019;10;15;5;33;43.67;37.94990;122.07430;14.0;4.5
2019;10;15;19;42;30.64;36.62120;121.31120;9.4;4.8
2019;12;17;18;29;20.71;35.77430;120.37030;11.0;4.2
2019;12;21;8;24;32.55;35.60910;117.43380;8.2;3.6
2020;1;2;10;12;59.26;33.91530;119.19650;7.8;4.2
2020;1;25;3;3;35.09;35.09170;116.96730;9.7;4.7
2020;2;1;18;36;54.36;37.58890;118.80650;11.3;4.2
2020;3;13;22;37;29.77;37.54050;117.74340;6.2;3.8
2020;3;21;1;33;35.78;39.12750;119.71010;6.7;4.6
2020;3;23;5;53;57.71;35.94100;117.35820;9.8;3.8
2020;3;25;11;57;37.45;38.78230;122.76080;13.0;3.6
2020;4;4;1;53;20.49;33.48180;116.51360;10.5;4.6
2020;4;5;19;20;46.52;37.51050;118.82860;6.2;3.6
2020;4;11;14;36;38.42;38.05410;118.77500;8.0;4.8
2020;4;11;16;22;51.38;38.03640;118.75040;6.0;4.0
2020;4;27;3;46;0.02;35.67570;117.48690;16.1;4.2
2020;5;10;22;7;39.9;33.01140;116.02150;12.5;4.4
2020;5;15;11;3;29.68;38.11420;117.86130;11.4;5.9
2020;5;15;11;18;12.77;38.14840;117.94290;8.4;4.2
2020;5;15;11;26;2.13;38.17110;117.89700;1.5;4.8
2020;5;15;11;30;16.61;38.14130;117.98680;7.1;4.1
2020;5;15;11;52;6.84;38.14610;117.96610;7.2;4.2
2020;5;15;12;0;41.09;38.15810;117.78170;11.7;3.9
2020;5;15;17;50;16.85;38.18800;117.82720;6.6;4.2
2020;5;15;22;15;49.67;38.14820;117.99050;3.6;4.3
2020;5;16;4;12;21.07;38.14100;117.95820;4.0;4.2
2020;5;16;11;50;53.21;38.20600;117.69420;7.0;4.4
2020;5;16;23;27;14.13;38.13240;118.02990;7.3;4.2
2020;5;17;11;53;53.16;38.13990;117.95730;7.6;3.9
2020;5;17;21;47;44.4;38.14000;118.03700;6.5;4.2
2020;5;18;2;19;8.78;38.15540;118.09370;9.0;3.8
2020;5;19;9;8;33.61;38.18310;117.79830;16.1;4.2
2020;5;19;22;12;45.91;38.15790;117.85720;9.5;4.4
2020;5;20;3;13;49.15;38.14030;118.05760;8.5;3.9
2020;5;20;3;49;57.9;38.12650;118.04730;0.7;3.6
2020;5;20;9;46;16.54;38.12750;118.05150;6.2;4.0
2020;5;20;12;36;53.38;38.18680;117.75280;5.7;4.7
2020;5;20;12;38;37.7;38.22610;117.78060;7.0;4.0
2020;5;22;0;22;0.97;38.22790;117.79360;7.3;4.4
2020;5;22;13;1;6.5;38.12430;118.05930;6.2;4.3
2020;5;24;12;55;9.47;35.85900;117.71040;11.4;3.5
2020;5;28;8;29;46.02;38.17910;118.05800;9.5;4.0
2020;5;31;1;7;17.35;38.03300;118.79810;10.0;4.3
2020;6;3;4;36;22.98;35.22470;117.17330;9.8;4.2
2020;6;4;1;32;11.27;35.59110;117.39310;8.5;5.1
2020;6;4;2;27;54.56;36.15210;117.95850;10.6;4.3
2020;6;8;3;24;6.53;38.20540;117.78590;8.0;4.7
2020;6;8;4;15;6.06;35.62720;117.41860;13.8;4.2
2020;6;19;10;26;43.55;38.19020;117.76480;13.0;4.2
2020;6;23;0;25;45.28;36.44740;117.97090;5.0;4.5
2020;6;24;17;40;50.59;36.44950;117.97720;10.6;5.5
2020;6;24;17;59;19.54;36.43150;117.89870;14.6;4.2
2020;6;30;9;24;23.15;38.16260;117.92950;6.9;4.2
2020;7;6;6;12;55.22;38.18490;117.86740;6.0;3.9
2020;7;26;2;6;28.52;38.20240;117.71090;10.0;4.1
2020;7;30;3;23;2.16;36.17150;120.80170;11.7;3.8
2020;7;30;11;29;28.35;34.30440;118.42630;15.8;4.2
2020;8;10;15;56;15.08;33.24500;115.69550;10.2;4.3
2020;8;19;0;55;23.14;39.35170;123.22900;12.5;4.3
2020;8;19;1;59;33.58;39.37150;123.26310;16.6;4.1
2020;8;19;17;32;11.55;36.46460;117.50330;1.5;4.7
2020;9;19;6;38;46.74;34.03860;118.07470;17.3;4.6
2020;10;1;0;31;27.88;33.03680;115.63520;10.5;4.6
2020;10;20;1;58;50.84;39.32980;123.33550;10.9;3.6
2020;11;13;9;13;52.4;38.17120;117.84540;9.4;5.0
2020;12;1;23;32;57.52;38.17440;118.04660;9.4;4.9
2020;12;1;23;43;8.79;38.15070;118.07120;5.9;3.6
2020;12;1;23;47;6.08;38.16470;118.07730;6.8;4.4
2020;12;2;2;23;45.07;38.18000;118.05840;5.6;4.3
2020;12;2;2;24;0.3;38.13660;118.05440;4.0;4.3
2020;12;2;4;49;28.75;38.16130;118.06320;7.4;4.0
2020;12;2;16;8;29.59;38.16010;118.07090;4.4;3.8
2020;12;3;3;18;9.77;38.16920;117.82040;1.6;4.7
2020;12;3;5;15;29.77;38.16340;118.04700;6.8;4.8
2020;12;6;15;3;33.62;39.01270;123.06840;8.3;4.3
2020;12;12;7;50;54.21;38.13090;118.09470;10.7;4.8
2020;12;14;21;20;10.98;38.14270;118.10590;8.2;4.8
2020;12;22;0;29;59.96;32.31460;115.42210;13.2;3.9
2021;1;2;14;42;24.02;36.58960;121.24420;8.8;4.0
2021;1;17;2;49;9.84;36.18340;118.09700;10.0;3.9
2021;1;17;3;14;50.57;36.17630;118.09720;10.0;3.6
2021;1;17;4;1;27.65;36.84570;121.64730;10.3;3.9
2021;2;21;1;20;0.67;36.14030;118.07110;10.0;3.2
2021;3;24;15;41;14.13;39.23700;123.49950;12.7;4.1
2021;3;30;16;4;5.92;38.17480;118.06180;7.3;4.3
2021;3;31;8;56;26.69;32.37490;115.26790;12.0;4.3
2021;4;5;11;44;1.95;33.93970;118.32790;24.3;4.2
2021;4;20;9;48;33.59;40.18630;123.60680;34.2;3.9
2021;5;7;4;35;14.1;39.45790;120.32010;10.9;4.4
2021;5;8;8;13;52.75;38.19560;117.85650;7.9;3.4
2021;6;5;17;55;58.68;33.12960;115.64510;10.5;4.9
2021;6;13;6;54;46.79;38.82400;122.80200;9.1;3.6
2021;6;29;1;29;48.02;37.69740;122.13210;11.3;3.8
2021;7;3;23;23;50.85;36.99610;120.82800;11.9;3.9
2021;7;8;22;49;49.8;38.50960;119.47780;11.0;5.6
2021;7;8;22;50;13.09;38.49450;119.46810;16.6;5.0
2021;7;8;22;59;45.39;38.52260;119.51220;6.6;3.9
2021;7;8;23;33;41.33;38.46880;119.55730;4.6;4.6
2021;7;8;23;58;52.29;38.54080;119.57390;2.4;4.3
2021;7;9;0;27;47.24;38.49410;119.50930;10.0;4.0
2021;7;9;1;46;0.62;38.51150;119.53870;5.6;4.4
2021;7;9;5;4;18.55;38.53780;119.49610;9.8;3.7
2021;7;9;5;10;35.69;38.54150;119.52680;7.9;3.8
2021;8;27;4;47;45.47;38.55700;119.43950;3.5;4.4
2021;8;31;16;9;56.34;36.57270;121.19860;12.6;3.9
2021;8;31;17;21;10.64;40.88810;114.93090;2.6;4.7
2021;9;18;2;58;35.63;33.82940;118.24570;14.4;4.3
2021;10;25;23;42;34.54;35.75770;121.36500;0.6;4.8
2022;1;6;0;28;6.97;37.31020;117.90600;9.9;4.7
2022;1;13;3;19;8.26;33.44310;116.45090;13.6;2.9
2022;1;22;22;40;11.66;38.23980;118.33970;2.8;4.0
2022;1;30;17;46;26.49;33.34290;116.90470;14.0;4.0
2022;2;15;21;16;23.95;38.17310;117.75340;10.5;4.3
2022;2;27;1;44;18.44;34.43120;119.11940;23.0;4.1
2022;3;13;20;51;31.69;36.57970;121.19060;11.7;3.7
2022;3;18;4;51;22.03;38.52900;119.50140;9.9;4.0
2022;4;2;10;31;4.41;41.04260;123.52120;33.3;3.7
2022;5;26;9;23;34.05;35.59490;117.40330;10.0;4.3
2022;6;2;12;7;23.21;38.10240;122.00470;15.4;4.0
2022;6;16;16;55;23.43;38.18840;117.79030;9.6;4.2
2022;7;15;1;19;7.15;35.69100;117.57020;8.8;4.4
2022;7;23;1;41;3.96;39.45380;121.48400;6.2;4.3
2022;8;8;20;44;14.14;38.58720;119.41730;6.9;4.3
2022;9;1;13;36;22.49;36.53680;121.12660;2.3;4.0
2022;9;14;1;39;39.01;38.47390;122.71340;2.8;4.4
2022;9;20;14;3;7.81;39.81060;123.16260;12.1;4.1
2022;10;20;0;2;35.53;38.78790;122.80240;10.0;4.0
2022;10;20;7;55;16.46;40.33660;123.52240;33.0;4.1
2022;10;25;18;42;3.27;37.32090;121.68980;9.5;4.9
2022;12;6;0;10;38.36;35.94970;119.99830;15.2;4.0
2022;12;31;12;12;26.4;33.39340;116.39360;10.2;4.1
2023;1;1;6;49;10.04;36.54910;121.26940;10.5;3.7
2023;1;1;18;35;4.62;40.41150;123.92360;31.6;4.9
2023;1;20;8;1;13.27;41.12520;123.87510;27.0;4.3
2023;1;25;10;0;54.84;33.88270;118.69260;13.3;4.5
2023;3;14;5;0;30.51;37.49220;117.99710;10.0;3.8
2023;3;14;10;13;19.56;37.51570;117.97420;7.0;3.7
2023;3;15;21;44;7.28;37.51180;117.96770;10.0;3.8
2023;3;18;7;3;44.21;37.50590;117.97200;7.0;3.9
2023;3;18;14;23;7.77;37.50230;117.96880;7.0;3.4
2023;4;1;1;16;7.85;33.37730;116.93510;15.2;3.9
2023;4;4;22;23;18.21;36.79220;121.34530;14.0;4.2
2023;4;12;5;39;54.41;38.81610;122.81100;10.0;4.0
2023;4;30;7;9;34.58;33.19260;115.60550;10.5;4.5
2023;4;30;7;58;19.69;33.19940;115.60910;9.0;4.2
2023;5;11;23;19;43.06;40.20480;121.12360;12.0;5.3
2023;5;12;2;54;45.94;40.18890;121.12330;10.0;3.5
2023;5;12;10;18;41.41;40.17750;121.07400;2.4;5.0
2023;5;18;15;55;53.21;40.23530;121.13060;11.5;3.0
2023;5;21;3;26;30.13;37.27700;117.59020;8.7;4.2
2023;5;26;11;26;24.83;40.22360;121.15780;8.2;4.2
2023;6;3;12;1;20.69;38.78950;122.73780;10.0;4.1
2023;6;18;3;44;59.8;39.05570;123.10110;10.4;4.3
2023;7;16;4;36;10.08;38.52410;118.18520;9.0;3.6
2023;7;19;7;34;23.38;39.50450;116.52250;2.2;4.5
2023;8;10;19;17;18.26;35.91320;120.49780;17.0;4.2
2023;8;20;21;41;1.32;34.41220;119.18430;11.0;5.1
2023;8;20;22;18;16.3;34.42690;119.18690;12.0;3.9
2023;8;22;11;39;19.7;34.42670;119.15420;12.5;3.9
2023;8;25;14;14;45.36;38.79200;122.83270;10.3;4.1
2023;9;8;17;24;38.82;40.92390;121.59110;12.2;5.0
2023;9;19;0;15;33.24;37.44920;121.26320;10.6;4.0
2023;9;19;4;13;10.3;37.45180;121.25590;10.2;4.7
2023;10;8;21;30;23.75;38.81140;122.78990;0.5;3.8
2023;10;18;16;29;14.27;38.12360;121.62400;9.1;4.3
2023;11;3;20;12;18.64;34.42680;119.16500;14.2;4.3
2023;12;1;7;43;27.91;32.75570;115.86960;12.2;4.6
