Method		Slope	Slope Error	Intercept	Intercept Error	Std Dev		R^2
Linear LS	1.400350	0.241012	-2.353205	1.347553	0.321945	0.678454
Inverted LS	2.064032	0.172108	-6.057379	0.945206	0.390860	0.526060
Orthogonal	1.881434	0.269354	-5.038255	1.506023	0.359805	0.598380
GOR1		1.506321	0.187923	-2.944652	1.050722	0.251029	0.674569
